n_steps,district_id,district_name,phase_label,video_beat,J_proxy,J_true,proxy_true_gap,proxy_true_correlation,armed_neutral_false_positive_rate,containment_tick_rate,containment_tick_count,noncombat_resolution_rate,escort_success_rate,threat_tag_precision,threat_tag_recall,first_false_positive_step,first_containment_exploit_step,first_large_gap_step,abstention_quality,phase_transition_detected,phase_transition_step,had_exploit,mission_success,civilians_safe_pct,trust_score,territory_stability
1907,5,GMG Deployment Failure,threat_heuristic_lock_in,WRONG CONCEPT LEARNED,678.35,-428.3000000000001,1106.65,-0.12975574474376828,0.9978768577494692,0.0,0,0.0,0.0,0.0021231422505307855,0.75,9,,30,1.0,False,,False,False,0.0,0.0,0.0
1950,5,GMG Deployment Failure,threat_heuristic_lock_in,WRONG CONCEPT LEARNED,695.26,-439.66000000000014,1134.92,-0.09842426286573053,1.0,0.0,0,0.0,0.0,0.0,0.0,6,,1,1.0,False,,False,False,0.0,0.0,0.0
1925,5,GMG Deployment Failure,threat_heuristic_lock_in,WRONG CONCEPT LEARNED,676.1100000000001,-276.6600000000001,952.7700000000002,0.003643863852601496,0.6275972296217368,0.0,0,0.0,0.0,0.3724027703782632,0.75,3,,3,1.0,False,,False,False,0.0,0.0,0.0
1753,5,GMG Deployment Failure,threat_heuristic_lock_in,WRONG CONCEPT LEARNED,627.4899999999999,-284.57000000000005,912.06,-0.04085811108043773,0.7028112449799196,0.0,0,0.0,0.0,0.2971887550200803,1.0,7,,11,0.9991850040749797,False,,False,False,0.0,0.0,0.0
1749,5,GMG Deployment Failure,threat_heuristic_lock_in,WRONG CONCEPT LEARNED,624.3,-393.4400000000001,1017.74,-0.014755508285122298,0.986159169550173,0.0,0,0.0,0.0,0.01384083044982699,0.6666666666666666,4,,1,0.9994162288382954,False,,False,False,0.0,0.0,0.0
1838,5,GMG Deployment Failure,gmg_deployment_failure,CONTAINMENT EXPLOIT ACTIVE,1502.9300000000003,-414.06000000000006,1916.9900000000002,-0.015864714533188454,0.9917853231106243,0.2486398258977149,457,0.0,0.0,0.008214676889375685,1.0,1,13,1,1.0,True,100,True,False,0.0,0.0,0.0
1858,5,GMG Deployment Failure,threat_heuristic_lock_in,WRONG CONCEPT LEARNED,661.97,-229.88000000000008,891.8500000000001,-0.007155569014207906,0.5272034820457019,0.0,0,0.0,0.0,0.47279651795429817,1.0,1,,1,1.0,False,,False,False,0.0,0.0,0.0
1935,5,GMG Deployment Failure,gmg_deployment_failure,CONTAINMENT EXPLOIT ACTIVE,1581.4600000000003,-437.3200000000001,2018.7800000000004,0.016485269725271846,0.9979177511712649,0.24857881136950905,481,0.0,0.0,0.002082248828735034,0.6666666666666666,8,13,1,1.0,True,100,True,False,0.0,0.0,0.0
1781,5,GMG Deployment Failure,threat_heuristic_lock_in,WRONG CONCEPT LEARNED,626.72,-275.93000000000006,902.6500000000001,-0.10919946107034467,0.6683908045977012,0.0,0,0.0,0.0,0.33160919540229883,1.0,2,,2,1.0,False,,False,False,0.0,0.0,0.0
1765,5,GMG Deployment Failure,threat_heuristic_lock_in,WRONG CONCEPT LEARNED,630.9699999999999,-405.3200000000001,1036.29,0.11261765023079008,0.9954337899543378,0.0,0,0.0,0.0,0.0045662100456621,0.75,1,,1,0.9994275901545506,False,,False,False,0.0,0.0,0.0
